Experiment_index,DP_Group,LA/GA,Polymer_MW,CL Ratio,Drug_Tm,Drug_Pka,Initial D/M ratio,DLC,SA-V,SE,Drug_Mw,Drug_TPSA,Drug_NHA,Drug_LogP,Time,Release
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,0.171821306,0.027941176
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,1.030927835,0.122058824
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,3.264604811,0.198529412
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,7.04467354,0.276470588
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,9.965635739,0.322058824
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,14.08934708,0.367647059
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,17.18213058,0.4
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,20.79037801,0.427941176
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,23.88316151,0.441176471
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,28.00687285,0.452941176
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,31.09965636,0.467647059
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,35.05154639,0.477941176
1,DEX-PEA,0,49000,0,262,12.42,0.2,0.153259949,422.5352113,0,392.467,94.83,6,1.8957,37.97250859,0.489705882
